id,produto,valor,endereço
1,Cheesy Cauliflower Bake,5.49,157.3.225.52
2,Sliced Avocado,2.79,51.58.125.177
3,Organic Black Beans,1.29,32.219.230.24
4,Laptop Stand,29.99,39.225.196.110
5,Veggie Lovers Pizza,8.99,12.130.13.249
6,Art Supplies Organizer,18.99,232.2.81.135
7,Sweet Potato Tots,4.29,65.172.130.36
8,Shatterproof Wine Glasses,24.99,106.132.56.18
9,Marinara Parmesan Baked Ziti,8.49,162.10.55.226
10,Professional Chef Knife,89.99,194.147.121.134
11,Pumpkin Waffles,4.49,106.216.112.4
12,Dried Cranberries,4.29,60.52.193.61
13,Vegetable Quinoa Bowl,5.99,225.255.188.2
14,Wine Glasses,29.99,162.78.74.166
15,Organic Green Apples,1.49,165.193.128.111
16,Portable Blender,30,193.102.115.147
17,Honey BBQ Ribs,12.99,11.189.120.95
18,Pet Grooming Gloves,9.99,239.219.252.255
19,Cherry Almond Protein Bar,1.99,176.185.79.25
20,Tomato Basil Pasta Sauce,3.99,254.141.38.61
21,Portable Phone Charger,29.99,6.189.88.145
22,Mushroom Soup (canned),2.49,198.118.39.255
23,Organic Tomato Soup,3.79,132.188.187.244
24,Egg Noodles,2.29,227.151.34.72
25,Mini Fondue Set,34.99,90.102.28.85
26,Corn Tortillas,2.49,5.93.56.100
27,Kale and Quinoa Salad,6.49,103.8.191.125
28,Classic Slim Fit Shirt,49.99,126.222.176.154
29,Tuna Fish (canned),2.29,198.47.122.192
30,Portable Solar Phone Charger,29.99,127.49.90.74
31,Coconut Curry Lentils,5.79,126.163.25.65
32,Pet Reflective Vest,18.99,66.67.106.4
33,Bluetooth Sleep Headphones,29.99,60.28.179.199
34,Smart Light Switch,29.99,170.202.143.194
35,Outdoor Sports Backpack,49.99,10.123.217.145
36,Cranberry Almond Granola,4.29,203.219.252.166
37,Car Diagnostic Scanner,49.99,195.73.92.108
38,Coconut Cream Pie,9.49,228.44.96.245
39,Car Diagnostic Scanner,49.99,15.58.207.48
40,Cucumber,0.99,172.50.33.130
41,Leek and Potato Soup,3.29,30.73.145.224
42,Pet Grooming Kit,39.99,18.240.126.232
43,Maple Glazed Carrots,3.29,165.52.59.145
44,Teriyaki Beef Jerky,5.49,35.104.156.89
45,Chocolate Fudge Ice Cream,5.99,88.50.169.4
46,Pumpkin Spice Pancake Mix,3.49,64.37.90.247
47,Essential White Button-Up,44.99,2.213.199.185
48,Sunglasses,29.99,90.62.176.205
49,Self-Stirring Mug,19.99,3.28.101.96
50,Turkey Bacon,3.99,221.73.136.79
51,Sesame Seeds,1.99,38.129.151.55
52,Lentil Soup,2.49,132.188.252.6
53,Oven-Baked Potato Chips,2.79,38.217.227.122
54,Berry Smoothie Mix,4.99,168.91.58.228
55,Infrared Space Heater,99.99,102.171.177.241
56,Electronic Drum Kit,359.99,208.132.105.15
57,Adjustable Laptop Desk,59.99,195.13.159.3
58,Glass Tea Pot,34.99,226.33.91.234
59,Mini Waffle Maker,24.99,99.161.250.213
60,Savory Quinoa Pudding,2.99,21.244.108.184
61,Heart-Shaped Baking Molds,10.99,81.119.105.103
62,Pet Grooming Glove,12.99,95.217.244.131
63,Outdoor Folding Table,39.99,13.137.117.229
64,Sweet Corn,1.5,86.46.126.198
65,Mashed Sweet Potatoes,3.99,13.70.152.248
66,Paint By Numbers Kit,24.99,30.125.91.10
67,Puffer Winter Coat,99.99,56.220.118.90
68,Telescope,159.99,223.226.55.127
69,Heated Throw Blanket,49.99,114.249.158.252
70,Gardening Gloves,15.99,1.220.164.200
71,Casual Sneakers,39.99,71.150.192.184
72,Creative Puzzle Game,19.99,192.120.220.75
73,Banana Peanut Butter Smoothie,5.49,78.35.39.254
74,Fitness Foam Roller,29.99,157.157.137.81
75,Fitness Resistance Bands,29.99,127.59.159.164
76,Mini Pretzels,2.99,61.140.210.106
77,Fashionable Belt Bag,34.99,39.13.132.40
78,Vegetable and Cheese Quesadillas,6.99,51.234.99.57
79,Pet Hair Removal Roller,10.99,64.61.62.117
80,Savory Oatmeal Cups,1.99,164.76.77.75
81,Cinnamon Sugar Popcorn,2.89,29.222.239.30
82,Thai Basil Fried Rice,5.99,187.11.218.133
83,Basil Pesto Pasta,6.49,40.117.142.2
84,Apple Pie Filling,3.49,59.202.121.132
85,Crispy Tofu Bites,4.99,208.233.30.88
86,Cranberry Almond Granola,4.29,254.39.3.199
87,Microwave Popcorn Maker,19.99,185.90.113.123
88,Utility Cargo Pants,54.99,159.36.122.134
89,LED Under Cabinet Lighting,29.99,175.208.54.91
90,Fruit and Nut Medley,5.99,224.116.219.90
91,Almond Flour Cookies,4.99,178.235.142.10
92,Carrot Sticks,2.49,223.254.166.149
93,Coconut Cream Pie,9.49,213.14.237.93
94,Durable Hiking Boots,89.99,127.111.140.112
95,Veggie Chips Variety Pack,3.79,32.31.21.190
96,Almond Joy Snack Bars,2.99,54.42.80.250
97,Honey,5.49,145.109.90.147
98,Travel Beach Blanket,29.99,65.165.54.205
99,Lemon Herb Chicken,7.49,249.107.185.142
100,Travel Mug with Leak-Proof Lid,24.99,240.162.219.114
101,Handmade Leather Journal,39.99,189.85.196.129
102,Interactive Plush Toy,34.99,251.132.51.136
103,Potting Soil,15.99,89.199.190.43
104,Surimi Crab Sticks,4.19,167.249.97.100
105,Habanero Hot Sauce,3.79,193.207.47.143
106,Teriyaki Chicken Wings,10.99,104.94.138.192
107,Reclining Camping Chair,49.99,0.88.20.54
108,Smartphone Holder for Car,14.99,242.91.249.125
109,Fleece Hoodie,39.99,96.190.179.241
110,Pet Hair Vacuum Attachment,14.99,32.33.216.219
111,Vegetarian Stir Fry Sauce,2.49,171.38.143.211
112,Eco-Friendly Yoga Blocks,15.99,180.52.246.64
113,Sunglasses,29.99,174.119.123.62
114,Cabbage,1.29,204.183.95.127
115,Smart Light Switch,29.99,16.101.105.200
116,Adjustable Laptop Stand,29.99,60.146.198.84
117,Baked Potato Chips,2.49,6.57.111.60
118,Organic Granola Cereal,5.99,70.77.65.181
119,Frozen Hash Browns,2.99,117.120.149.145
120,Adjustable Resistance Bands,39.99,228.124.134.144
121,Garden Hose,32.99,18.239.40.158
122,Peach Halves (canned),2.49,148.138.47.48
123,Hot Dog Buns,2.49,179.207.191.49
124,Eco-Friendly Disposable Plates,22.99,230.157.60.226
125,Organic Coconut Yogurt,4.49,2.5.220.222
126,Indoor Grill,59.99,243.208.168.60
127,Raspberry Tart,5.49,22.113.169.126
128,Chocolate Covered Pretzels,3.29,5.192.249.39
129,Roasted Garlic Mashed Potatoes,3.99,124.123.140.178
130,Marinara Sauce,3.49,225.53.90.101
131,Sliced Olives,1.99,60.63.220.37
132,Self-Cleaning Water Bottle,49.99,37.178.211.70
133,Pineapple Coconut Bars,3.79,114.247.82.123
134,Blackberry Compote,5.29,22.93.190.91
135,Pumpkin Waffles,4.49,223.167.29.49
136,Pumpkin Spice Creamer,3.79,241.213.80.64
137,Teriyaki Tofu Stir-Fry,7.49,82.147.41.23
138,Pumpkin Spice Granola,4.99,211.19.175.49
139,Kids' Art Easel,58.99,108.43.178.77
140,Hibiscus Tea Bags,3.79,156.195.164.129
141,Vegan Taco Seasoning,2.49,200.233.180.98
